Order ID,Date,Region,Category,Product,Customer,Sales,Quantity,Profit,Discount
ORD-0001,3/8/2025,East,Clothing,Shoes,CUST-088,344,5,140.31,20.00%
ORD-0002,11/7/2025,West,Electronics,Keyboard,CUST-021,1889.55,3,371.47,15.00%
ORD-0003,19/6/2025,West,Electronics,Keyboard,CUST-015,181.8,2,51.78,10.00%
ORD-0004,3/11/2025,East,Furniture,Desk,CUST-021,2821,7,1234.07,0.00%
ORD-0005,12/12/2025,North,Electronics,Headphones,CUST-130,887.3,2,306.95,5.00%
ORD-0006,19/2/2025,West,Office Supplies,Stapler,CUST-132,321.3,7,65.7,10.00%
ORD-0007,6/8/2025,West,Furniture,Desk,CUST-014,696,6,131,20.00%
ORD-0008,22/2/2025,West,Clothing,Shoes,CUST-124,302.4,7,113.92,20.00%
ORD-0009,16/5/2025,West,Electronics,Laptop,CUST-063,470,5,113.5,0.00%
ORD-0010,19/8/2025,South,Clothing,Jacket,CUST-041,159.3,1,68.5,10.00%
ORD-0011,26/12/2025,South,Office Supplies,Printer Paper,CUST-035,41.6,1,10.53,20.00%
ORD-0012,25/12/2025,East,Electronics,Headphones,CUST-137,2569.75,5,992.65,5.00%
ORD-0013,10/8/2025,North,Clothing,Jacket,CUST-143,123.2,2,38.52,20.00%
ORD-0014,7/3/2025,South,Clothing,T-Shirt,CUST-045,306,4,124.38,10.00%
ORD-0015,27/11/2025,West,Furniture,Chair,CUST-092,1372.75,5,286.92,15.00%
ORD-0016,21/8/2025,East,Electronics,Headphones,CUST-103,1824,6,417.94,0.00%
ORD-0017,11/11/2025,South,Furniture,Table,CUST-096,1017.45,3,365.11,5.00%
ORD-0018,11/4/2025,north,Office Supplies,Notebook,CUST-081,60.8,4,15.67,5.00%
ORD-0019,6/5/2025,South,Clothing,T-Shirt,CUST-053,108.8,2,38.82,20.00%
ORD-0020,12/9/2025,South,Office Supplies,Pen Set,CUST-024,318.6,6,111.57,10.00%
ORD-0021,15/12/2025,East,Electronics,Keyboard,CUST-148,470.9,2,147.29,15.00%
ORD-0022,8/5/2025,East,Office Supplies,Printer Paper,CUST-082,81.6,4,16,15.00%
ORD-0023,9/9/2025,West,Office Supplies,Notebook,CUST-090,99.75,3,37.94,5.00%
ORD-0024,9/6/2025,East,Office Supplies,Notebook,CUST-009,17,4,5.09,15.00%
ORD-0025,16/3/2025,North,Electronics,Headphones,CUST-104,2685,3,742.81,0.00%
ORD-0026,4/12/2025,South,Office Supplies,Pen Set,CUST-054,276.45,3,112.4,5.00%
ORD-0027,15/5/2025,East,Clothing,Shoes,CUST-145,328,5,131.76,20.00%
ORD-0028,21/9/2025,East,Office Supplies,Notebook,CUST-027,108.8,4,34.66,20.00%
ORD-0029,13/11/2025,West,Furniture,Chair,CUST-147,1938,6,769.94,0.00%
ORD-0030,21/8/2025,North,Office Supplies,Printer Paper,CUST-024,77.6,1,16.41,20.00%
ORD-0031,10/9/2025,North,Electronics,Laptop,CUST-067,1560,6,670.26,0.00%
ORD-0032,8/12/2025,East,Office Supplies,Pen Set,CUST-127,67.45,1,19.15,5.00%
ORD-0033,8/2/2025,North,Clothing,Jeans,CUST-026,315,2,81.46,10.00%
ORD-0034,20/1/2025,North,Clothing,Jeans,CUST-008,74,1,20.75,0.00%
ORD-0035,4/3/2025,South,Office Supplies,Pen Set,CUST-125,378,6,122.58,10.00%
ORD-0036,21/9/2025,North,Furniture,Desk,CUST-060,619.2,2,257.4,10.00%
ORD-0037,4/11/2025,West,Office Supplies,Stapler,CUST-013,441,5,122.55,10.00%
ORD-0038,12/12/2025,North,Furniture,Table,CUST-117,334.8,2,110.98,10.00%
ORD-0039,17/10/2025,West,Furniture,Bookshelf,CUST-126,2892.75,7,1179.55,5.00%
ORD-0040,10/3/2025,South,Furniture,Table,CUST-093,220.8,1,55.37,20.00%
ORD-0041,10/3/2025,East,Clothing,Jacket,CUST-094,320,4,133.97,20.00%
ORD-0042,8/2/2025,West,Furniture,Desk,CUST-033,923.4,4,292.96,5.00%
ORD-0043,11/8/2025,South,Furniture,Desk,CUST-147,1228.25,5,537.69,15.00%
ORD-0044,9/6/2025,East,Furniture,Table,CUST-084,40.85,1,18.09,5.00%
ORD-0045,11/4/2025,West,Office Supplies,Stapler,CUST-067,59.2,2,17.92,20.00%
ORD-0046,10/9/2025,East,Electronics,Laptop,CUST-035,207.4,2,87.69,15.00%
ORD-0047,25/4/2025,North,Clothing,T-Shirt,CUST-135,319.2,2,114.28,5.00%
ORD-0048,6/9/2025,West,Office Supplies,Pen Set,CUST-138,200,5,46.61,0.00%
ORD-0049,1/6/2025,East,Electronics,Laptop,CUST-037,2304,3,553.81,0.00%
ORD-0050,25/3/2025,West,Office Supplies,Notebook,CUST-086,238,7,72.76,0.00%
ORD-0051,22/9/2025,East,Electronics,Headphones,CUST-028,768,3,169.94,0.00%
ORD-0052,22/2/2025,East,Furniture,Bookshelf,CUST-144,1461.6,4,419.98,10.00%
